FECHA DE INGRESO,FECHA DE LIBERACION,CORPORACION QUE ASEGURA VEHICULO,NOMBRE DEL ELEMENTO QUE ASEGURO EL VEHICULO,NOMBRE DE LA GRUA QUE HACE EL SERVICIO,SERIE QUE PROPORCIONAN AL INGRESAR EL VEHICULO,PLACAS,MARCA,SUBMARCA,MODELO,COLOR,MP Y AGENCIA A CARGO DE LA INVESTIGACION,CUI,OBSERVACIONES,ESTADO
2024-07-18,,POLICIA DE INVESTIGACION,POLICIA DE INVESTIGACION,SIN GRUA,JN8AS58T4CW770346,AEL587A,NISSAN ,Rogue,2012,Blanco,LIC. LAURA ELENA CALDERON VILLAREAL,,REPORTE DE ROBO FGJ MEXICO. TRASLADO,1
2024-07-20,,POLICIA DE INVESTIGACION,POLICIA DE INVESTIGACION,GRUA DE POLICIA DE INVESTIGACION,LSGHD52H6MDO33532,ZHH912C,CHEVROLET,,2021,Negro,LIC. JUANA MARIA RODRIGUEZ ARREGUIN,4276/2024-4,REPORTE DE ROBO. TRASLADO,1
2024-07-20,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,LZSK4FKK0MF129596,SIN PLACAS,ITALIKA,,2021,Negro,LIC. JUANA MARIA RODRIGUEZ ARREGUIN,7869/2024-7,REPORTE DE ROBO,1
2024-07-21,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,3SCPDTEE6J1019551,SIN PLACAS,ITALIKA,,2023,Negro/Azul,LIC. MARIA CRUZ NAVA MEZA,7885/2024-7,REPORTE DE ROBO,1
2024-07-24,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,3MUCBGBD1P1011522,SIN PLACAS,VENTO ,,2023,Negro,LIC. CARLOS ADOLFO SAMANIEGO CISNEROS,11814/2023-10,REPORTE DE ROBO,1
2024-07-29,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,GAJ6872517T,BLY5375,NISSAN ,Tsuru,,Rojo,LIC. CARLA SUSANA MARTINEZ PACHECO,8162/2024-7,REPORTE DE ROBO. ABANDONADO,1
2024-07-30,,SEDENA,SEDENA,GRUAS ESCOBEDO,3N1EB31S1EK342674,A717ZFF,NISSAN,Tsuru,2014,Blanco,FRANCISCO DE JESUS MORALES GUTIERREZ,242/2024-8,REPORTE DE ROBO,1
2024-07-30,,POLICIA DE INVESTIGACION,POLICIA DE INVESTIGACION,GRUAS MARQUEZ,3N1CB51512K227894,SIN PLACAS,NISSAN,Sentra,,Blanco,JAVIER MUÑOZ FLORES,8156/2024-7,REPORTE DE ROBO. CATEO,1
2024-08-01,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,3H1JA4179DD214843,SIN PLACAS,HONDA,,2013,Blanco/Negro,LIC. NANCY LOERA TAMAYO,8262/2024-8,REPORTE DE ROBO. ABANDONADO,1
2024-08-06,,POLICIA DE INVESTIGACION,POLICIA DE INVESTIGACION,GRUAS DIROSA,,YX7518A,NISSAN,NP300,,Rojo/Blanco,LIC. MARIA CRUZ NAVA MEZA,PR/2024,REPORTE DE ROBO. ABANDONADO,1
2024-08-06,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,WBXPC93487WF08643,SZV3959,BMW ,X3,,Gris Plata,LIC. MARIA CRUZ NAVA MEZA,8402/2024-8,REPORTE DE ROBO. ABANDONADO,1
2024-08-14,,POLICIA ESTATAL,POLICIA ESTATAL,GRUA DE POLICIA VIAL,WF0CP6B95G1B52707,ZGG695D,FORD,Titanium,2016,Gris  ,LIC. CARLA SUSANA MARTINEZ PACHECO,8660/2024-8,REPORTE DE ROBO. ABANDONADO,1
2024-08-15,,FRIZ,FRIZ,GRUAS ESCOBEDO,3N6AD33A7JK86494,SIN PLACAS,NISSAN,NP300,2018,Blanco,LIC. SALVADOR SANTAMARIA GARCIA,PR/2024,REPORTE DE ROBO. ABANDONADO,1
2024-08-16,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,LD3V0DBD6L1008059,SIN PLACAS,VENTO ,,2020,Negro,LIC. ADRIANA ESCOBEDO CARRILLO,7399/2024-7,REPORTE DE ROBO. ABANDONADO,1
2024-08-17,,POLICIA MUNICIPAL DE GUADALUPE,POLICIA MUNICIPAL DE GUADALUPE,SIN GRUA,3NGAD31C2HK830354,JV27232,NISSAN,NP300,2017,Blanco,LIC. NANCY LOERA TAMAYO,8800/2024-8,REPORTE DE ROBO,1
2024-08-22,,POLICIA METROPOL,POLICIA METROPOL,GRUAS SANTO DOMINGO,MOTOR 162FMJP3038974,SIN PLACAS,ITALIKA ,,2021,Negro/Rojo,LIC. MARIA CRUZ NAVA MEZA,5514/2024-5,REPORTE DE ROBO DE MOTOR Y ABANDONADO,1
2024-08-27,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,WF0LT43L433114844,ZOG13737,FORD,Mondeo,2003,Gris,LIC. LUIS DESIDERIO ARIAS MORALES,1582/2024-5,REPORTE DE ROBO. ABANDONADO,1
2024-08-27,,POLICIA DE INVESTIGACION,POLICIA DE INVESTIGACION,SIN GRUA,MR0CX8CB6M0420809,SIN PLACAS,TOYOTA ,Hilux Estacas,2021,Blanco,LIC. LUIS DESIDERIO ARIAS MORALES,8455/2024-8,REPORTE DE ROBO Y ESMERILADO,1
2024-08-28,,POLICIA MUNICIPAL DE ZACATECAS,POLICIA MUNICIPAL DE ZACATECAS,SIN GRUA,MOTOR RW167FML2300000881,SIN PLACAS,ITALIKA,,2023,Negro,LIC. JUANA BAÑOS DE LA ROSA,9196/2024-8,REPORTE DE ROBO. ABANDONADO,1
2024-09-04,,POLICIA METROPOL,POLICIA METROPOL,GRUAS SANTO DOMINGO,3MVDMCDL2NM411866,SIN PLACAS,MAZDA,CX30,2022,Gris rata,LIC. LAURA ELENA CALDERON VILLAREAL,9460/2024-9,REPORTE DE ROBO,1
2024-09-04,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,MOTOR LC162FMJSE076434,SIN PLACAS,ITALIKA ,,,Negro,LIC. LAURA ELENA CALDERON VILLAREAL,PR/2024,REPORTE DE ROBO. ABANDONADO,1
2024-09-06,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,SIN SERIE,SIN PLACAS,ITALIKA ,,,Morado/Negro,LIC. ROSA ELIA CANO HINOJOSA,PR/2024,REPORTE DE ROBO. DESMANTELADO,1
2024-09-14,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,988611564NK476644,GTS986G,JEEP ,,2022,Rojo,LIC. CARLA SUSANA MARTINEZ PACHECO,9790/2024-9,REPORTE DE ROBO,1
2024-09-15,,POLICIA MUNICIPAL DE GUADALUPE,POLICIA MUNICIPAL DE GUADALUPE,GRUAS ESCOBEDO,3HJFC9JK5JSS11318,SIN PLACAS,HINO ,Orion,2018,Blanco,LIC. SALVADOR SANTAMARIA GARCIA,PR/2024,REPORTE DE ROBO. ABANDONADO,1
2024-09-24,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,3SCYDMGE8L1009811,SIN PLACAS,ITALIKA ,DM200,,Negro,LIC. MARIELA RUBI SOTO GOMEZ,10129/2024-9,REPORTE DE ROBO,1
2024-09-25,,GUARDIA NACIONAL,GUARDIA NACIONAL,GRUAS ESCOBEDO,3N6AD33A2LK806852,SIN PLACAS,NISSAN ,Frontier NP300,,Gris,,,REPORTE DE ROBO AGS,1
2024-09-28,,POLICIA MUNICIPAL DE GUADALUPE,POLICIA MUNICIPAL DE GUADALUPE,GRUAS SANTO DOMINGO,1FTCR14U4PPA77333,YY8511C,FORD ,Ranger,,Guinda,LIC. MAYRA YESENIA DE SANTIAGO GONZALEZ,4859/2024-5,REPORTE DE ROBO. DESVALIJADO,1
2024-09-30,,POLICIA ESTATAL,POLICIA ESTATAL,SIN GRUA,3N8CP5HD5KL482746,UZY446C,NISSAN ,Kicks,2019,Blanco,LIC. SALVADOR SANTAMARIA GARCIA,10353/2024-9,REPORTE DE ROBO,1
2024-10-02,,POLICIA METROPOL,POLICIA METROPOL,SIN GRUA,LZSK4FKK7MF125836,SIN PLACAS,ITALIKA ,,2021,Negro/Azul,LIC. NANCY TAMAYO LOERA,10439/2024-10,REPORTE DE ROBO. ABANDONADO. DESVALIJADO,1
2024-10-07,,,,SIN GRUA,1GTCS1444S8531409,ZF5056B,GMC ,S-10,1995,Rojo,,10607/2024-10,REPORTE DE ROBO,1
2024-10-09,,POLICIA METROPOL,POLICIA METROPOL,,3N1EB31S2HK303192,ZHZ603D,NISSAN ,Tsuru,2017,Blanco,LIC. MARIELA RUBI SOTO GOMEZ,10685/2024-10,REPORTE DE ROBO. DESVALIJADO,1
2024-10-10,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,3SCPZWDE4H1026352,SIN PLACAS,ITALIKA ,Cargo,2017,Negro,LIC. DELIA DOMINGUEZ MARTINEZ,10706/2024-10,REPORTE DE ROBO. ALTERACIONES,1
2024-10-11,,POLICIA MUNICIPAL DE ZACATECAS,POLICIA MUNICIPAL DE ZACATECAS,SIN GRUA,3SCK2AEP7N1002236,SIN PLACAS,ITALIKA ,FT150,2022,Negro,LIC. MAYRA YESENIA DE SANTIAGO GONZALEZ,10764/2024-10,REPORTE DE ROBO,1
2024-10-12,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,WVWVES6K12R503630,ZFF576E,VOLKSWAGEN ,Derbi,2002,Gris,LIC. JUANA BAÑOS DE LA ROSA,PR/2024,REPORTE DE ROBO,1
2024-10-15,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,3SCK29EA9MJ009336,99EKH3,ITALIKA ,FL125,2019,Gris/Blanco,LIC. SALVADOR SANTAMARIA GARCIA,PR/2024,REPORTE DE ROBO. ABANDONADO,1
2024-10-18,,POLICIA ESTATAL,POLICIA ESTATAL,,3C3B548WRT299770,ZFP792D,CHRYSLER ,Shadow,1994,Negro,LIC. LAURA ELENA CALDERON VILLAREAL,11009/2024-10,REPORTE DE ROBO. ABANDONADO,1
2024-10-19,,POLICIA MUNICIPAL DE ZACATECAS,POLICIA MUNICIPAL DE ZACATECAS,GRUA DE POLICIA VIAL,H720104926,ZJ3073B,DATSUN ,,1979,Gris rata,LIC. LAURA ELENA CALDERON VILLAREAL,11058/2024-10,REPORTE DE ROBO. ABANDONADO,1
2024-08-22,,POLICIA METROPOL,POLICIA METROPOL,GRUAS ESCOBEDO,3N1EB31S91K341122,ZEV773D,NISSAN,TSURU,2001,BLANCO,LIC. MARIA CRUZ NAVA MEZA,9002/2024-8,REPORTE DE ROBO. ABANDONADO Y DESVALIJADO,1
